公众号文章,发文数,阅读总数,篇均阅读量,发布次数,头条阅读数,在看总数,最大在看数,平均在看数,10W+文章数,,,总阅读量部分,平均阅读量部分,头条阅读量部分,10W+文章数量部分,赞阅率部分,点赞爆点部分,PDI
爱奉贤,498,1777026,3568,153,1048263,4203,193,8,0,430.70,154.84,153.43,0.00,347.89,221.32,671.06
爱看奉贤,356,289134,812,75,149110,1974,258,6,0,376.35,120.09,131.94,0.00,362.08,226.47,612.45
博爱贤城,325,27264,84,120,16353,157,17,0,0,305.68,78.46,85.38,0.00,297.41,224.87,490.62
东方美谷,116,51592,445,24,32336,1465,92,13,0,324.77,99.67,125.18,0.00,403.11,199.67,570.89
奉城镇,460,488907,1063,163,347304,7439,183,16,0,392.08,130.00,133.14,0.00,408.31,210.99,640.85
奉发集团,71,119777,1687,56,104591,3567,182,50,0,349.98,119.39,130.85,0.00,419.71,167.55,595.04
奉贤财政金融,102,7999,78,30,5027,35,7,0,0,268.98,70.93,88.97,0.00,239.24,220.10,441.06
奉贤城管,64,20690,323,30,14323,190,19,3,0,297.42,92.59,107.16,0.00,317.12,195.28,503.26
奉贤房管,38,16547,435,27,11514,110,15,3,0,290.74,96.40,105.20,0.00,290.89,186.78,486.47
奉贤工会,401,319756,797,124,236670,1235,80,3,0,379.37,121.85,131.23,0.00,337.02,222.53,603.28
奉贤规划资源,24,12066,503,24,12066,93,19,4,0,281.28,98.15,108.06,0.00,290.05,184.24,482.21
奉贤国资,12,2225,185,12,2225,54,8,5,0,230.70,82.04,90.73,0.00,1.00,1.00,242.88
奉贤环保,250,30773,123,131,24350,118,12,0,0,309.30,82.83,90.77,0.00,1.00,222.34,379.08
奉贤建设交通,76,56861,748,61,51779,1217,160,16,0,327.68,106.53,117.15,0.00,389.37,208.28,569.88
奉贤交能集团,96,55583,579,61,42765,475,36,5,0,327.00,103.19,113.83,0.00,338.58,199.63,541.70
